,Sensitivity_All,Specificity_All,POD_All,Timeliness_All,Threshold_All,Sensitivity_NonBH,Specificity_NonBH,POD_NonBH,Timeliness_NonBH,Threshold_NonBH
Signal_1,0.7412935323383084,0.984072375127421,0.96,0.14323361823361824,0.75,0.7412935323383084,0.984072375127421,0.96,0.14323361823361824,0.75
Signal_2,0.5534883720930233,0.9871810827629123,0.72,0.4799780219780219,0.95,0.5534883720930233,0.9871810827629123,0.72,0.4799780219780219,0.95
Signal_3,0.6864864864864865,0.9814720812182741,1.0,0.1474216524216524,0.75,0.6864864864864865,0.9814720812182741,1.0,0.1474216524216524,0.75
Signal_4,0.8740458015267175,0.9804707060590886,1.0,0.10646153846153847,0.95,0.8740458015267175,0.9804707060590886,1.0,0.10646153846153847,0.95
Signal_5,0.6617283950617284,0.9792224346717655,1.0,0.11430431430431431,0.75,0.6617283950617284,0.9792224346717655,1.0,0.11430431430431431,0.75
Signal_6,0.5112107623318386,0.9824342842905195,0.84,0.40394633642930855,0.95,0.5112107623318386,0.9824342842905195,0.84,0.40394633642930855,0.95
Signal_7,0.8311345646437994,0.9668402998348368,1.0,0.13172584052584052,0.95,0.8311345646437994,0.9668402998348368,1.0,0.13172584052584052,0.95
Signal_8,0.6678571428571428,0.9825595984943538,0.96,0.16225072485134404,0.9,0.6678571428571428,0.9825595984943538,0.96,0.16225072485134404,0.9
Signal_9,0.8056537102473498,0.9800426760386595,1.0,0.11211933577258652,0.95,0.8056537102473498,0.9800426760386595,1.0,0.11211933577258652,0.95
Signal_10,0.6713091922005571,0.9775693828412115,1.0,0.1928311688311688,0.75,0.6713091922005571,0.9775693828412115,1.0,0.1928311688311688,0.75
Signal_11,0.6149732620320856,0.9693662408532804,0.88,0.3331111111111111,0.95,0.6149732620320856,0.9693662408532804,0.88,0.3331111111111111,0.95
Signal_12,0.6551724137931034,0.9814958592132506,1.0,0.07740223740223741,0.9,0.6551724137931034,0.9814958592132506,1.0,0.07740223740223741,0.9
Signal_13,0.8130841121495327,0.9841472769112759,1.0,0.07282051282051279,0.95,0.8130841121495327,0.9841472769112759,1.0,0.07282051282051279,0.95
Signal_14,0.9525423728813559,0.9737272155876807,1.0,0.05543752543752543,0.95,0.9525423728813559,0.9737272155876807,1.0,0.05543752543752543,0.95
Signal_15,0.6952662721893491,0.9850859453993933,0.96,0.21520655270655273,0.7999999999999999,0.6952662721893491,0.9850859453993933,0.96,0.21520655270655273,0.7999999999999999
Signal_16,0.745049504950495,0.9840683150650013,0.92,0.1872222222222222,0.44999999999999996,0.745049504950495,0.9840683150650013,0.92,0.1872222222222222,0.44999999999999996
