Signal,POD_All,POD_NonBH,Sensitivity_All,Sensitivity_NonBH,Specificity_All,Specificity_NonBH,Threshold_All,Threshold_NonBH,Timeliness_All,Timeliness_NonBH
Signal_1,0.0,0.0,-0.04477611940298509,-0.04477611940298509,-0.010321100917431214,-0.010321100917431214,-0.6,-0.6,0.014928774928774882,0.014928774928774882
Signal_10,0.0,0.0,0.027855153203342642,0.027855153203342642,-0.024458243568622473,-0.024458243568622473,-0.6,-0.6,0.0007272727272727153,0.0007272727272727153
Signal_11,0.16000000000000003,0.16000000000000003,0.2887700534759359,0.2887700534759359,-0.03906734466079642,-0.03906734466079642,-0.8999999999999999,-0.8999999999999999,-0.25044444444444436,-0.25044444444444436
Signal_12,0.0,0.0,0.14942528735632188,0.14942528735632188,-0.07686335403726718,-0.07686335403726718,-0.7999999999999999,-0.7999999999999999,-0.0323383823383824,-0.0323383823383824
Signal_13,0.0,0.0,-0.016355140186915862,-0.016355140186915862,-0.033878803375095745,-0.033878803375095745,-0.75,-0.75,-0.0017094017094017033,-0.0017094017094017033
Signal_14,0.0,0.0,0.0,0.0,0.00012570710245141115,0.00012570710245141115,-0.7999999999999999,-0.7999999999999999,0.0,0.0
Signal_15,0.07999999999999996,0.07999999999999996,0.050295857988165604,0.050295857988165604,-0.017821031344792737,-0.017821031344792737,-0.75,-0.75,-0.04864468864468863,-0.04864468864468863
Signal_16,0.12,0.12,0.01980198019801982,0.01980198019801982,-0.005862860056079611,-0.005862860056079611,-0.4499999999999999,-0.4499999999999999,-0.0533333333333334,-0.0533333333333334
Signal_2,-0.16000000000000003,-0.16000000000000003,-0.03720930232558145,-0.03720930232558145,-0.005227131300559962,-0.005227131300559962,-0.8,-0.8,0.06846153846153863,0.06846153846153863
Signal_3,0.0,0.0,0.0,0.0,-0.029060913705583946,-0.029060913705583946,-0.6499999999999999,-0.6499999999999999,0.0050000000000000044,0.0050000000000000044
Signal_4,-0.040000000000000036,-0.040000000000000036,-0.019083969465648942,-0.019083969465648942,-0.012643965948923364,-0.012643965948923364,-0.8999999999999999,-0.8999999999999999,0.054153846153846094,0.054153846153846094
Signal_5,0.0,0.0,0.12098765432098768,0.12098765432098768,-0.08234544295729773,-0.08234544295729773,-0.7,-0.7,-0.038039678039678004,-0.038039678039678004
Signal_6,-0.36,-0.36,-0.04484304932735422,-0.04484304932735422,-0.03401021552261119,-0.03401021552261119,-0.8999999999999999,-0.8999999999999999,0.19499090864415958,0.19499090864415958
Signal_7,0.0,0.0,-0.01055408970976257,-0.01055408970976257,-0.014864693177486954,-0.014864693177486954,-0.7999999999999999,-0.7999999999999999,0.003292383292383294,0.003292383292383294
Signal_8,-0.76,-0.76,-0.6214285714285716,-0.6214285714285716,0.015683814303638632,0.015683814303638632,-0.8999999999999999,-0.8999999999999999,0.6545913804118139,0.6545913804118139
Signal_9,0.040000000000000036,0.040000000000000036,-0.12367491166077738,-0.12367491166077738,-0.09401280281159785,-0.09401280281159785,-0.8999999999999999,-0.8999999999999999,0.08392907402195329,0.08392907402195329
