"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,27,32,30,30,30,26,40,28,33,18,30,33,36,48,34,40,48,24,30,39,34,32,34,27,40,44,44,32,33,33,40,34,44,36,40,38,27,26,39,27,30,22,34,30,32,40,54,36,28,32,20,26,39,21,32,27,46,39,39,46,36,21,34,22,36,34,33,38,27,28,44,38,28,32,33,46,36,39,40,18,33,46,44,30,44,32,39,42,33,34,38,33,38,24,45,28,32,38,22
25,14,14,16,20,28,23,17,18,13,13,24,27,19,18,24,20,12,17,28,27,22,18,25,29,19,16,22,23,15,26,15,24,16,19,22,22,22,23,15,25,19,20,11,17,25,20,19,17,12,24,23,21,18,13,14,28,18,23,17,13,12,22,18,13,21,15,18,18,17,21,19,20,16,20,19,19,24,20,20,22,23,19,16,23,19,19,30,22,15,27,24,25,13,18,27,27,17,20,23
21,20,21,26,27,22,28,26,21,16,14,18,20,18,23,13,15,19,22,13,14,22,28,22,17,22,28,24,14,27,23,24,18,22,19,27,18,18,19,20,23,14,19,12,15,24,18,25,19,11,18,10,17,26,19,22,20,22,18,25,16,17,16,23,24,18,20,22,15,17,17,24,19,21,26,17,24,17,15,21,20,16,18,17,7,17,15,11,34,18,30,19,14,29,27,25,17,22,21,20
15,19,23,26,20,16,22,25,17,25,29,22,28,21,25,18,22,19,22,26,28,21,36,20,21,25,23,31,22,16,30,21,12,24,39,16,19,28,22,18,25,22,28,16,29,20,23,27,20,20,17,28,28,28,29,30,31,24,16,27,25,23,18,21,18,21,26,21,13,24,26,26,19,27,27,24,22,22,25,24,22,21,27,26,29,22,23,32,23,23,18,19,30,24,26,22,21,28,21,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24,26,19,26,19,22,19,23,19,29,26,27,25,19,20,30,19,33,31,33,25,28,28,27,22,31,27,27,31,23,27,22,25,23,27,28,25,22,18,28,33,20,20,25,17,20,25,28,22,27,36,27,20,23,28,32,27,22,22,32,30,30,34,19,21,26,20,33,23,29,27,29,33,27,32,37,27,18,24,21,28,16,31,28,22,28,29,20,15,16,33,23,23,21,18,20,22,25,22
26,32,27,22,19,19,22,28,21,22,22,17,28,28,25,19,31,34,29,27,24,22,20,20,18,27,33,27,27,29,38,20,26,15,21,15,9,21,20,27,15,22,22,15,21,31,24,19,35,21,31,23,18,23,26,24,18,23,24,24,21,17,22,31,19,28,21,25,18,18,26,24,26,15,26,28,32,25,18,23,16,17,21,28,23,21,19,18,22,27,21,22,27,26,25,24,21,29,24,25
21,18,21,20,19,14,19,19,17,16,14,13,20,17,23,21,20,13,19,27,11,18,19,38,18,19,20,17,17,23,17,18,22,23,20,20,22,17,20,27,13,28,16,16,14,20,24,23,19,15,26,18,18,27,25,22,12,16,20,15,24,21,26,22,20,18,17,23,20,15,23,24,25,16,13,19,25,21,20,18,17,30,21,26,24,20,19,13,24,16,16,14,20,24,21,21,33,16,20,17
17,20,16,22,24,23,28,18,21,23,21,16,17,20,27,27,20,18,23,17,19,20,26,21,23,21,13,27,21,18,11,24,14,19,23,19,20,17,16,20,13,18,13,17,14,22,10,18,14,21,13,22,19,18,17,19,26,22,23,16,17,22,20,16,24,19,27,22,22,22,25,16,25,18,21,16,22,20,23,17,17,17,22,24,20,23,18,22,15,16,18,24,13,30,28,22,17,21,13,19
18,27,17,35,18,19,24,18,31,26,20,22,25,21,26,23,28,20,31,18,11,19,23,19,23,30,21,19,31,23,18,28,14,20,22,20,20,20,22,20,25,28,18,20,24,33,18,31,18,20,22,23,19,25,30,21,34,23,25,22,24,28,23,24,24,17,25,22,18,18,20,22,28,25,15,20,20,20,16,29,22,22,24,29,25,23,23,25,25,22,17,20,24,27,18,26,30,24,19,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,29,25,24,23,38,18,21,24,23,21,25,27,29,21,28,20,30,24,32,29,19,26,21,25,19,20,26,23,27,19,34,21,30,29,30,25,28,29,25,36,20,23,17,15,19,40,27,21,29,20,30,23,30,27,20,22,29,32,29,24,25,31,15,25,25,21,19,25,20,24,31,22,18,30,28,23,22,21,30,18,20,21,22,21,33,32,27,29,24,37,24,19,21,25,30,22,26,24
21,20,28,27,31,21,33,26,28,27,21,26,22,23,15,31,28,25,22,24,26,29,26,14,19,19,18,18,22,22,24,22,23,27,20,19,21,28,18,20,19,15,25,25,24,17,13,18,31,20,18,20,14,25,22,22,23,27,22,19,25,15,23,20,22,18,22,19,24,22,20,27,24,22,19,29,27,31,17,15,24,18,21,25,27,17,25,25,26,30,24,18,20,17,24,14,22,16,20,25
16,8,21,23,26,13,20,20,23,21,16,25,20,19,13,18,19,18,18,19,22,30,23,17,17,22,18,12,20,22,22,19,21,20,16,18,23,18,26,21,20,24,27,13,17,14,22,19,15,20,14,21,13,10,21,14,28,17,20,19,14,16,17,17,16,14,25,18,16,20,11,27,16,19,16,18,27,16,15,18,12,18,21,21,16,13,19,22,8,17,14,19,20,12,13,11,14,19,22,19
18,23,17,18,20,13,26,14,25,19,22,23,18,12,18,23,25,18,18,18,20,15,21,25,17,17,15,24,17,19,15,17,18,24,18,19,12,18,17,15,21,22,25,31,18,28,17,21,15,20,12,18,12,10,10,16,27,14,20,17,20,24,20,14,25,15,16,18,16,25,12,25,25,20,16,14,19,11,19,16,14,20,15,17,18,15,15,17,18,18,15,16,21,16,8,16,14,10,19,18
26,23,21,18,26,14,24,29,25,17,19,20,23,30,19,28,21,32,23,25,22,26,19,25,16,21,22,20,15,22,14,28,21,22,19,27,28,25,15,23,26,26,14,27,21,19,18,22,25,24,15,30,17,24,23,25,31,22,24,10,22,19,28,25,26,22,19,11,24,21,21,30,18,27,19,25,26,20,15,20,21,25,15,21,27,24,22,25,25,20,21,14,27,21,23,18,22,21,21,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,21,22,24,29,27,20,23,27,27,16,34,23,32,24,24,28,30,28,26,29,34,22,27,25,17,26,23,18,21,26,23,26,22,22,22,31,24,20,33,25,26,23,24,43,26,21,27,22,24,28,17,24,31,29,25,27,29,16,22,36,31,29,29,25,25,25,14,24,29,24,33,28,22,29,24,23,33,22,19,27,23,19,20,29,21,22,22,23,24,25,31,27,18,17,25,18,28,29,30
24,31,22,21,28,15,26,27,17,29,21,26,25,22,16,27,22,21,25,20,17,26,29,21,22,13,19,20,19,20,21,22,22,22,18,18,22,26,20,17,32,26,18,23,32,19,24,25,34,26,28,21,18,26,14,26,23,16,19,21,21,23,14,29,20,24,30,27,22,17,20,18,17,25,19,21,29,20,20,19,18,27,22,20,30,27,18,21,21,20,22,20,24,21,21,28,21,20,31,23
22,13,15,17,21,22,21,18,22,18,16,16,25,22,21,16,20,11,20,11,16,11,14,15,28,24,21,17,27,15,25,21,15,19,21,24,15,20,17,14,14,14,21,14,18,21,16,23,17,12,23,18,17,16,21,21,21,14,15,14,20,24,23,19,19,17,22,10,16,29,10,15,15,20,21,17,25,20,12,16,18,14,17,15,21,18,19,22,15,14,15,23,15,17,19,16,15,27,18,13
21,21,18,24,21,17,17,16,15,15,8,21,26,12,17,16,20,14,14,25,25,17,15,12,27,22,23,7,17,21,28,16,13,11,22,13,21,17,23,25,18,16,16,15,19,10,16,11,20,25,22,23,18,17,22,21,15,20,18,21,16,20,22,18,18,18,22,22,14,21,19,23,14,22,14,14,14,21,17,21,16,18,20,21,12,17,12,19,9,17,13,14,19,14,22,14,12,16,24,21
21,19,18,22,20,31,20,17,22,18,21,19,23,21,18,25,24,34,16,21,14,22,25,18,21,26,16,24,17,17,21,22,24,16,26,23,19,15,20,16,21,30,35,31,27,20,29,29,26,24,29,23,25,13,11,28,19,17,17,24,19,21,17,24,23,30,24,25,18,29,16,25,28,19,21,27,16,30,15,19,30,14,26,18,32,25,19,17,22,27,17,27,20,25,21,21,19,29,28,22
